SeqName,length,bit-score,eValue,hitName,GOs,ACC
scf7180000000008_quiver_45,139,277.33,5.62E-94,gi|365749523|gb|AEW73750.1|UmuD [Enterobacter cloacae EcWSU1],"GO:0006281, GO:0003677, GO:0009432, GO:0006355, GO:0016787, GO:0006974",
scf7180000000008_quiver_45,139,275.789,1.42E-93,gi|798941028|ref|WP_045909003.1|translesion error-prone DNA polymerase V autoproteolytic subunit [Enterobacter cloacae complex sp. CIDEIMsCOL1],"GO:0006281, GO:0003677, GO:0009432, GO:0006355, GO:0016787, GO:0006974",
scf7180000000008_quiver_45,139,274.633,3.82E-93,gi|976154169|ref|WP_059312364.1|translesion error-prone DNA polymerase V autoproteolytic subunit [Enterobacter cloacae complex sp. GN04363],"GO:0003677, GO:0006281, GO:0009432, GO:0006355, GO:0016787, GO:0006974",
scf7180000000008_quiver_46,422,867.07,0,gi|976154224|ref|WP_059312419.1|translesion error-prone DNA polymerase V subunit UmuC [Enterobacter cloacae complex sp. GN04363],"GO:0006281, GO:0003684",
scf7180000000008_quiver_46,422,865.914,0,gi|998244221|ref|WP_061097816.1|translesion error-prone DNA polymerase V subunit UmuC [Enterobacter cloacae] ,"GO:0006281, GO:0003684",
scf7180000000008_quiver_49,298,609.372,0,gi|697053233|ref|WP_033145839.1|MULTISPECIES: benzoate transporter [Enterobacter] ,"GO:0016020, GO:0006487, GO:0003830",
scf7180000000008_quiver_49,298,609.372,0,"gi|556488358|ref|WP_023336091.1|MULTISPECIES: beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [Enterobacter] ","GO:0016757, GO:0016020, GO:0006487, GO:0016740, GO:0003830",
scf7180000000008_quiver_51,214,424.861,3.14E-150,gi|695706006|ref|WP_032641267.1|MULTISPECIES: protein-serine/threonine phosphatase [Enterobacter cloacae complex] ,GO:0016787,
scf7180000000008_quiver_51,214,424.091,6.06E-150,gi|798816316|ref|WP_045887980.1|protein-serine/threonine phosphatase [Enterobacter asburiae] ,GO:0016787,
scf7180000000008_quiver_51,214,423.705,9.92E-150,gi|850373136|ref|WP_048029436.1|MULTISPECIES: protein-serine/threonine phosphatase [Leclercia] ,GO:0016787,
scf7180000000008_quiver_51,214,422.55,2.39E-149,gi|779870226|ref|WP_045355983.1|MULTISPECIES: protein-serine/threonine phosphatase [Enterobacter cloacae complex] ,GO:0016787,
scf7180000000008_quiver_53,465,925.62,0,gi|798816320|ref|WP_045887981.1|16S rRNA (cytosine(1407)-C(5))-methyltransferase RsmF [Enterobacter asburiae] ,"GO:0005737, GO:0003723, GO:0008649, GO:0006364, GO:0008168, GO:0031167, GO:0016740, GO:0016434, GO:0008757, GO:0032259",
scf7180000000008_quiver_54,877,1764.59,0,gi|695720307|ref|WP_032647760.1|MULTISPECIES: MCE family protein [Enterobacter] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_54,877,1762.66,0,gi|779870232|ref|WP_045355985.1|MULTISPECIES: MCE family protein [Enterobacter] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_54,877,1762.27,0,gi|695705998|ref|WP_032641263.1|MULTISPECIES: MCE family protein [Enterobacter cloacae complex] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_54,877,1761.5,0,gi|798816325|ref|WP_045887982.1|MCE family protein [Enterobacter asburiae] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_55,427,867.455,0,gi|798937118|ref|WP_045908227.1|MULTISPECIES: paraquat-inducible protein A [Enterobacteriaceae] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_55,427,866.685,0,gi|544824422|ref|WP_021240425.1|MULTISPECIES: paraquat-inducible protein A [Enterobacteriaceae] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_55,427,866.3,0,gi|556488353|ref|WP_023336086.1|paraquat-inducible protein A [Enterobacter sp. MGH 24] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_55,427,865.144,0,gi|976154564|ref|WP_059312759.1|MULTISPECIES: paraquat-inducible protein A [Enterobacter cloacae complex] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_55,427,863.218,0,gi|695720305|ref|WP_032647758.1|MULTISPECIES: paraquat-inducible protein A [Enterobacter] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_55,427,862.833,0,gi|695705995|ref|WP_032641261.1|MULTISPECIES: paraquat-inducible protein A [Enterobacter cloacae complex] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_56,165,335.88,1.25E-116,gi|695720303|ref|WP_032647756.1|MULTISPECIES: GAF domain-containing protein [Enterobacter] ,"GO:0016491, GO:0055114, GO:0033745",
scf7180000000008_quiver_56,165,335.109,2.73E-116,gi|502861141|ref|WP_013096117.1|MULTISPECIES: GAF domain-containing protein [Enterobacter] ,"GO:0016491, GO:0055114, GO:0033745",
scf7180000000008_quiver_57,228,465.307,1.08E-165,gi|647319584|ref|WP_025756901.1|MULTISPECIES: RNA chaperone ProQ [Enterobacter] ,"GO:0033592, GO:0010608, GO:0005737, GO:0003723, GO:0034057",
scf7180000000008_quiver_57,228,464.537,2.28E-165,gi|504697190|ref|WP_014884292.1|MULTISPECIES: RNA chaperone ProQ [Enterobacterales] ,"GO:0033592, GO:0010608, GO:0005737, GO:0003723, GO:0034057",
scf7180000000008_quiver_57,228,463.766,4.71E-165,gi|503936618|ref|WP_014170612.1|MULTISPECIES: RNA chaperone ProQ [Enterobacter] ,"GO:0033592, GO:0010608, GO:0003723, GO:0005737, GO:0034057",
scf7180000000008_quiver_57,228,462.996,7.07E-165,gi|695705986|ref|WP_032641257.1|MULTISPECIES: RNA chaperone ProQ [Enterobacter cloacae complex] ,"GO:0033592, GO:0010608, GO:0003723, GO:0005737, GO:0034057",
scf7180000000008_quiver_57,228,461.84,1.98E-164,gi|493174458|ref|WP_006176005.1|RNA chaperone ProQ [Enterobacter cancerogenus] ,"GO:0033592, GO:0010608, GO:0003723, GO:0005737, GO:0034057",
scf7180000000008_quiver_57,228,461.84,2.12E-164,gi|504645276|ref|WP_014832378.1|RNA chaperone ProQ [Enterobacter cloacae] ,"GO:0033592, GO:0010608, GO:0003723, GO:0005737, GO:0034057",
scf7180000000008_quiver_57,228,461.84,2.17E-164,gi|998244299|ref|WP_061097894.1|RNA chaperone ProQ [Enterobacter cloacae] ,"GO:0033592, GO:0010608, GO:0005737, GO:0003723, GO:0034057",
scf7180000000008_quiver_58,682,1398.26,0,gi|647637442|ref|WP_025910096.1|MULTISPECIES: carboxy terminal-processing peptidase [Enterobacteriaceae] ,"GO:0008233, GO:0006508, GO:0008236, GO:0016787",
scf7180000000008_quiver_58,682,1396.72,0,gi|970277706|ref|WP_058657479.1|carboxy terminal-processing peptidase [Enterobacter cloacae complex sp. SMART_763],"GO:0008233, GO:0006508, GO:0008236, GO:0016787",
scf7180000000008_quiver_58,682,1395.56,0,gi|798937122|ref|WP_045908228.1|MULTISPECIES: carboxy terminal-processing peptidase [Enterobacter] ,"GO:0008233, GO:0006508, GO:0008236, GO:0016787",
scf7180000000008_quiver_58,682,1395.18,0,gi|556309071|ref|WP_023293946.1|carboxy terminal-processing peptidase [Enterobacter cloacae] ,"GO:0008233, GO:0006508, GO:0008236, GO:0016787",
scf7180000000008_quiver_58,682,1394.79,0,gi|640466489|ref|WP_024909720.1|MULTISPECIES: carboxy terminal-processing peptidase [Enterobacter] ,"GO:0008233, GO:0006508, GO:0008236, GO:0016787",
scf7180000000008_quiver_58,682,1394.02,0,gi|658549599|ref|WP_029741991.1|MULTISPECIES: carboxy terminal-processing peptidase [Enterobacterales] ,"GO:0008233, GO:0006508, GO:0008236, GO:0016787",
scf7180000000008_quiver_58,682,1394.02,0,gi|556488351|ref|WP_023336084.1|MULTISPECIES: carboxy terminal-processing peptidase [Enterobacter] ,"GO:0008233, GO:0006508, GO:0008236, GO:0016787",
scf7180000000008_quiver_59,293,597.045,0,gi|504697188|ref|WP_014884290.1|MULTISPECIES: protease HtpX [Enterobacteriaceae] ,"GO:0008270, GO:0008233, GO:0046872, GO:0006508, GO:0016020, GO:0016021, GO:0008237, GO:0004222, GO:0016787, GO:0005886",
scf7180000000008_quiver_59,293,595.89,0,gi|498118491|ref|WP_010432647.1|MULTISPECIES: protease HtpX [Enterobacteriaceae] ,"GO:0008270, GO:0008233, GO:0046872, GO:0016020, GO:0006508, GO:0016021, GO:0008237, GO:0004222, GO:0016787, GO:0005886",
scf7180000000008_quiver_59,293,594.349,0,gi|502861144|ref|WP_013096120.1|MULTISPECIES: protease HtpX [Enterobacter] ,"GO:0008270, GO:0008233, GO:0046872, GO:0006508, GO:0016020, GO:0016021, GO:0008237, GO:0004222, GO:0016787, GO:0005886","YP_003611981.1, ADF61032.1"
scf7180000000008_quiver_60,457,887.1,0,gi|779870237|ref|WP_045355987.1|MULTISPECIES: MFS transporter [Enterobacter] ,"GO:0055085, GO:0016020, GO:0016021",
scf7180000000008_quiver_60,457,885.56,0,gi|695720301|ref|WP_032647754.1|MULTISPECIES: MFS transporter [Enterobacter] ,"GO:0055085, GO:0016020, GO:0016021",
scf7180000000008_quiver_60,457,883.634,0,gi|746208169|ref|WP_039263641.1|MULTISPECIES: MFS transporter [Enterobacter] ,"GO:0055085, GO:0016020, GO:0016021",
scf7180000000008_quiver_61,263,531.561,0,gi|556488349|ref|WP_023336082.1|DNA-binding transcriptional regulator KdgR [Enterobacter sp. MGH 24] ,"GO:0003677, GO:0006351, GO:0006355",
scf7180000000008_quiver_61,263,529.635,0,gi|556427576|ref|WP_023312208.1|MULTISPECIES: DNA-binding transcriptional regulator KdgR [Enterobacterales] ,"GO:0003677, GO:0006351, GO:0006355",
scf7180000000008_quiver_61,263,528.48,0,gi|695705977|ref|WP_032641251.1|MULTISPECIES: DNA-binding transcriptional regulator KdgR [Enterobacter cloacae complex] ,"GO:0003677, GO:0006351, GO:0006355",
scf7180000000008_quiver_61,263,525.783,0,gi|850373151|ref|WP_048029440.1|MULTISPECIES: DNA-binding transcriptional regulator KdgR [Leclercia] ,"GO:0003677, GO:0006351, GO:0006355",
scf7180000000008_quiver_61,263,523.472,0,gi|647319581|ref|WP_025756898.1|MULTISPECIES: DNA-binding transcriptional regulator KdgR [Enterobacter] ,"GO:0003677, GO:0006351, GO:0006355",
scf7180000000008_quiver_61,263,522.702,0,gi|976154567|ref|WP_059312762.1|MULTISPECIES: DNA-binding transcriptional regulator KdgR [Enterobacter cloacae complex] ,"GO:0003677, GO:0006351, GO:0006355",
scf7180000000008_quiver_61,263,522.316,0,gi|772674957|ref|WP_045286383.1|DNA-binding transcriptional regulator KdgR [Enterobacter cloacae complex sp. 35699] ,"GO:0003677, GO:0006351, GO:0006355",
scf7180000000008_quiver_61,263,520.776,0,gi|979844502|ref|WP_059353968.1|MULTISPECIES: DNA-binding transcriptional regulator KdgR [Enterobacter] ,"GO:0003677, GO:0006351, GO:0006355",
scf7180000000008_quiver_61,263,520.776,0,gi|504697186|ref|WP_014884288.1|MULTISPECIES: DNA-binding transcriptional regulator KdgR [Enterobacteriaceae] ,"GO:0003677, GO:0006351, GO:0006355",
scf7180000000008_quiver_62,79,150.599,4.90E-46,gi|695720299|ref|WP_032647752.1|MULTISPECIES: membrane protein [Enterobacter] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_63,47,93.9745,1.48E-24,gi|502861148|ref|WP_013096124.1|MULTISPECIES: PhoP regulon feedback inhibition membrane protein MgrB [Enterobacter] ,"GO:0016020, GO:0070298, GO:0016021, GO:0005886","YP_003611985.1, ADF61036.1"
scf7180000000008_quiver_63,47,93.5893,2.52E-24,gi|493174445|ref|WP_006175995.1|MULTISPECIES: PhoP regulon feedback inhibition membrane protein MgrB [Enterobacterales] ,"GO:0016020, GO:0070298, GO:0016021, GO:0005886",
scf7180000000008_quiver_63,47,93.2041,3.86E-24,gi|504697184|ref|WP_014884286.1|MULTISPECIES: PhoP regulon feedback inhibition membrane protein MgrB [Enterobacter] ,"GO:0016020, GO:0016021, GO:0070298, GO:0005886",
scf7180000000008_quiver_63,47,93.2041,3.86E-24,gi|503936612|ref|WP_014170606.1|MULTISPECIES: PhoP regulon feedback inhibition membrane protein MgrB [Enterobacter] ,"GO:0016020, GO:0016021, GO:0070298, GO:0005886",
scf7180000000008_quiver_63,47,92.0485,9.61E-24,gi|489956599|ref|WP_003859906.1|MULTISPECIES: PhoP regulon feedback inhibition membrane protein MgrB [Bacteria] ,"GO:0016020, GO:0016021, GO:0070298, GO:0005886",
scf7180000000008_quiver_63,47,91.2781,1.88E-23,gi|506439680|ref|WP_015959397.1|PhoP regulon feedback inhibition membrane protein MgrB [Enterobacter sp. 638] ,"GO:0016020, GO:0016021, GO:0070298, GO:0005886",
scf7180000000008_quiver_64,96,185.652,2.85E-59,gi|640466508|ref|WP_024909723.1|MULTISPECIES: hypothetical protein [Enterobacteriaceae] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_64,96,184.111,8.82E-59,gi|556427565|ref|WP_023312206.1|MULTISPECIES: hypothetical protein [Enterobacter] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_64,96,181.415,1.20E-57,gi|556488347|ref|WP_023336080.1|MULTISPECIES: hypothetical protein [Enterobacter] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_64,96,179.489,7.36E-57,gi|695705972|ref|WP_032641249.1|MULTISPECIES: hypothetical protein [Enterobacter cloacae complex] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_64,96,166.392,1.22E-51,gi|495775905|ref|WP_008500484.1|MULTISPECIES: hypothetical protein [Enterobacterales] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_64,96,164.081,8.16E-51,gi|746208168|ref|WP_039263640.1|MULTISPECIES: hypothetical protein [Enterobacter] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_64,96,161.384,1.14E-49,gi|847055601|ref|WP_047958942.1|MULTISPECIES: hypothetical protein [Enterobacter] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_65,329,635.95,0,gi|798937134|ref|WP_045908231.1|MULTISPECIES: MBL fold metallo-hydrolase [Enterobacter] ,"GO:0008270, GO:0070290",
scf7180000000008_quiver_66,69,139.043,9.92E-42,gi|282949014|emb|CBG88617.1|cold shock-like protein CspC [Citrobacter rodentium ICC168] ,"GO:0003677, GO:0005737, GO:0006351, GO:0006355, GO:0003676",
scf7180000000008_quiver_66,69,139.043,1.22E-41,gi|446985422|ref|WP_001062678.1|MULTISPECIES: cold-shock protein CspC [Bacteria] ,"GO:0003677, GO:0005737, GO:0003723, GO:0051087, GO:0005829, GO:0016020, GO:0031564, GO:0001072, GO:0006351, GO:0006355, GO:0060567, GO:0003697, GO:0003676","ADF61040.1, YP_002412841.1, ABB62069.1, YP_005227654.1, CAR13310.1, YP_006778862.1, YP_403560.1, AFS74061.1, YP_002407237.1, AAL20752.1, CAR17363.1, YP_003611989.1, AEW62052.1, P0A9Y9.2, ADR27246.1, NP_460793.1, YP_004594706.1, YP_006120180.1, AEG99427.1"
scf7180000000008_quiver_66,69,139.813,1.61E-41,gi|260217475|emb|CBA31616.1|Cold shock-like protein cspC [Cronobacter turicensis z3032],"GO:0003677, GO:0005737, GO:0006355, GO:0003676",
scf7180000000008_quiver_66,69,138.272,2.00E-41,gi|926329166|ref|WP_053663373.1|cold-shock protein [Streptomyces sp. MMG1121] ,"GO:0003677, GO:0005737, GO:0006351, GO:0006355, GO:0003676",
scf7180000000008_quiver_66,69,138.272,2.49E-41,gi|488150741|ref|WP_002221949.1|MULTISPECIES: cold-shock protein [Enterobacterales] ,"GO:0003677, GO:0005737, GO:0006351, GO:0006355, GO:0003676","CAL11834.1, YP_001006042.1"
scf7180000000008_quiver_66,69,138.658,2.56E-41,gi|564117728|gb|AHB70049.1|cspC protein [Cronobacter malonaticus],"GO:0003677, GO:0005737, GO:0006355, GO:0003676",
scf7180000000008_quiver_66,69,138.272,3.64E-41,gi|156531860|gb|ABU76686.1|hypothetical protein ESA_01428 [Cronobacter sakazakii ATCC BAA-894],"GO:0003677, GO:0005737, GO:0006355, GO:0003676",
scf7180000000008_quiver_66,69,137.502,4.27E-41,gi|446985424|ref|WP_001062680.1|cold-shock protein CspC [Shigella flexneri] ,"GO:0003677, GO:0005737, GO:0006351, GO:0006355, GO:0003676",
scf7180000000008_quiver_67,568,1142.1,0,gi|779870254|ref|WP_045355990.1|MULTISPECIES: peptidoglycan glycosyltransferase FtsI [Enterobacter] ,GO:0008658,
scf7180000000008_quiver_67,568,1139.79,0,gi|798816359|ref|WP_045887984.1|peptidoglycan glycosyltransferase FtsI [Enterobacter asburiae] ,GO:0008658,
scf7180000000008_quiver_68,271,535.798,0,gi|695720295|ref|WP_032647748.1|MULTISPECIES: 23S rRNA (guanine(745)-N(1))-methyltransferase [Enterobacter] ,"GO:0046872, GO:0008168, GO:0031167, GO:0016740, GO:0032259, GO:0052911",
scf7180000000008_quiver_68,271,532.332,0,gi|779870256|ref|WP_045355991.1|MULTISPECIES: 23S rRNA (guanine(745)-N(1))-methyltransferase [Enterobacter cloacae complex] ,"GO:0046872, GO:0008168, GO:0016740, GO:0032259",
scf7180000000008_quiver_68,271,530.791,0,gi|746208165|ref|WP_039263637.1|MULTISPECIES: 23S rRNA (guanine(745)-N(1))-methyltransferase [Enterobacter] ,"GO:0046872, GO:0016740, GO:0008168, GO:0032259",
scf7180000000008_quiver_69,188,363.999,6.61E-127,gi|612151207|gb|AHW93878.1|hypothetical protein DI57_05730 [Enterobacter asburiae L1] ,"GO:0071421, GO:0005384, GO:0016020, GO:0016021, GO:0006810, GO:0006811, GO:0005886",
scf7180000000008_quiver_69,188,363.229,1.23E-126,gi|555031238|gb|ESL75598.1|hypothetical protein L423_03275 [Enterobacter cloacae UCICRE 12] ,"GO:0071421, GO:0016020, GO:0005384, GO:0016021, GO:0006810, GO:0006811, GO:0005886",
scf7180000000008_quiver_69,188,362.459,2.81E-126,gi|584256289|gb|EWG75679.1|putative manganese efflux pump MntP [Enterobacter sp. DC3] ,"GO:0071421, GO:0016020, GO:0005384, GO:0016021, GO:0006810, GO:0006811, GO:0005886",
scf7180000000008_quiver_70,152,300.442,5.43E-103,gi|798816364|ref|WP_045887985.1|MULTISPECIES: DUF986 domain-containing protein [Enterobacter] ,"GO:0016020, GO:0016021, GO:0005886",
scf7180000000008_quiver_70,152,299.286,1.70E-102,gi|829779913|ref|WP_047345841.1|MULTISPECIES: DUF986 domain-containing protein [Enterobacter cloacae complex] ,"GO:0016020, GO:0016021, GO:0005886",
scf7180000000008_quiver_70,152,296.204,2.22E-101,gi|772672105|ref|WP_045285474.1|MULTISPECIES: DUF986 domain-containing protein [Enterobacter cloacae complex] ,"GO:0016020, GO:0016021, GO:0005886",
scf7180000000008_quiver_70,152,296.204,2.67E-101,gi|779870258|ref|WP_045355992.1|MULTISPECIES: DUF986 domain-containing protein [Enterobacter cloacae complex] ,"GO:0016020, GO:0016021, GO:0005886",
scf7180000000008_quiver_71,283,572.007,0,gi|365749948|gb|AEW74175.1|Mannose permease IID component [Enterobacter cloacae EcWSU1] ,"GO:0016020, GO:0016021, GO:0009401",
scf7180000000008_quiver_71,283,571.237,0,gi|493864274|ref|WP_006810994.1|MULTISPECIES: PTS mannose transporter subunit IID [Bacteria] ,"GO:0016020, GO:0016021, GO:0009401, GO:0016740, GO:0008982, GO:0034219, GO:0103111",
scf7180000000008_quiver_71,283,570.466,0,gi|772672107|ref|WP_045285475.1|PTS mannose transporter subunit IID [Enterobacter cloacae complex sp. 35699] ,"GO:0016020, GO:0016021, GO:0009401",
scf7180000000008_quiver_71,283,569.696,0,gi|556473247|ref|WP_023324862.1|MULTISPECIES: PTS mannose transporter subunit IID [Enterobacter cloacae complex] ,"GO:0016020, GO:0016021, GO:0009401",
scf7180000000008_quiver_71,283,569.311,0,gi|392325518|gb|AFM60471.1|PTS system mannose-specific transporter subunit IID [Enterobacter cloacae subsp. dissolvens SDM],"GO:0016020, GO:0016021, GO:0009401",
scf7180000000008_quiver_71,283,569.311,0,gi|503836659|ref|WP_014070653.1|MULTISPECIES: PTS mannose transporter subunit IID [Enterobacter] ,"GO:0016020, GO:0016021, GO:0009401",
scf7180000000008_quiver_71,283,568.926,0,gi|847055593|ref|WP_047958938.1|PTS mannose transporter subunit IID [Enterobacter sp. BIDMC92] ,"GO:0016020, GO:0016021, GO:0009401",
scf7180000000008_quiver_71,283,568.926,0,gi|493174424|ref|WP_006175979.1|MULTISPECIES: PTS mannose transporter subunit IID [Enterobacter] ,"GO:0016020, GO:0016021, GO:0009401","YP_003611994.1, ADF61045.1"
scf7180000000008_quiver_72,266,523.087,0,gi|495775911|ref|WP_008500490.1|MULTISPECIES: PTS mannose/fructose/sorbose transporter subunit IIC [Enterobacterales] ,"GO:0016020, GO:0016021, GO:0009401",
scf7180000000008_quiver_72,266,522.702,0,gi|503936605|ref|WP_014170599.1|MULTISPECIES: PTS mannose/fructose/sorbose transporter subunit IIC [Enterobacter] ,"GO:0016020, GO:0016021, GO:0009401",
scf7180000000008_quiver_72,266,521.546,0,gi|640466530|ref|WP_024909729.1|MULTISPECIES: PTS mannose/fructose/sorbose transporter subunit IIC [Enterobacteriaceae] ,"GO:0016020, GO:0016021, GO:0009401",
scf7180000000008_quiver_72,266,521.161,0,gi|502670246|ref|WP_012906092.1|PTS mannose/fructose/sorbose transporter subunit IIC [Citrobacter rodentium] ,"GO:0016020, GO:0016021, GO:0009401",
scf7180000000008_quiver_72,266,520.776,0,gi|550719514|ref|WP_022648448.1|MULTISPECIES: PTS mannose/fructose/sorbose transporter subunit IIC [Enterobacteriaceae] ,"GO:0016020, GO:0016021, GO:0009401",
scf7180000000008_quiver_72,266,520.39,0,gi|850373175|ref|WP_048029445.1|MULTISPECIES: PTS mannose/fructose/sorbose transporter subunit IIC [Leclercia] ,"GO:0016020, GO:0016021, GO:0009401",
scf7180000000008_quiver_72,266,520.005,0,gi|491264033|ref|WP_005122174.1|MULTISPECIES: PTS mannose/fructose/sorbose transporter subunit IIC [Enterobacteriaceae] ,"GO:0016020, GO:0016021, GO:0009401, GO:0016740",
scf7180000000008_quiver_72,266,520.005,0,gi|493174421|ref|WP_006175977.1|PTS mannose/fructose/sorbose transporter subunit IIC [Enterobacter cancerogenus] ,"GO:0016020, GO:0016021, GO:0009401",
scf7180000000008_quiver_72,266,519.62,0,gi|780031161|ref|WP_045443971.1|MULTISPECIES: PTS mannose/fructose/sorbose transporter subunit IIC [Citrobacter] ,"GO:0016020, GO:0016021, GO:0009401",
scf7180000000008_quiver_72,266,518.85,0,gi|749016435|ref|WP_040075179.1|PTS mannose/fructose/sorbose transporter subunit IIC [Enterobacter cloacae] ,"GO:0016020, GO:0016021, GO:0009401",
scf7180000000008_quiver_72,266,518.85,0,gi|489111148|ref|WP_003021004.1|MULTISPECIES: PTS mannose/fructose/sorbose transporter subunit IIC [Enterobacteriaceae] ,"GO:0016020, GO:0016021, GO:0009401",
