,Tags,SeqName,Description,Length,#Hits,e-Value,sim mean,#GO,GO IDs,GO Names,Enzyme Codes,Enzyme Names,InterPro IDs,InterPro GO IDs,InterPro GO Names
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_36,terminase,207,20,1.47E-150,99.88,,,,,,G3DSA:3.40.50.300 (GENE3D),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_37,hypothetical protein,223,20,1.19E-146,95.8,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_38,hypothetical protein,96,7,4.38E-44,63.2,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_39,Uncharacterised,192,20,1.05E-105,98.65,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_40,Uncharacterised,156,20,1.47E-112,97.72,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_41,P60 family,145,20,2.13E-94,93.23,,,,,,G3DSA:3.90.1720.10 (GENE3D),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_42,SGNH GDSL hydrolase family,667,20,1.40E-138,71.51,2,P:GO:0008152; F:GO:0016996,"P:metabolic process; F:endo-alpha-(2,8)-sialidase activity",EC:3.2.1.129,Endo-alpha-sialidase,G3DSA:2.10.10.80 (GENE3D); IPR036514 (G3DSA:3.40.50.GENE3D); IPR013830 (PFAM); cd00229 (CDD); SSF52266 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED]",scf7180000000008_quiver_43,SGNH GDSL hydrolase family,407,20,7.57E-131,50.1,1,F:GO:0016787,F:hydrolase activity,,,IPR013830 (PFAM); IPR036514 (G3DSA:3.40.50.GENE3D); IPR006311 (PROSITE_PROFILES); cd00229 (CDD); SSF52266 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_44,acyltransferase,340,20,0,68.16,1,F:GO:0016747,"F:transferase activity, transferring acyl groups other than amino-acyl groups",,,IPR002656 (PFAM); PTHR23028 (PANTHER),F:GO:0016747,"F:transferase activity, transferring acyl groups other than amino-acyl groups"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_45,DNA polymerase V subunit,139,20,3.22E-95,99.39,5,F:GO:0003677; P:GO:0006281; P:GO:0006355; P:GO:0009432; F:GO:0016787,"F:DNA binding; P:DNA repair; P:regulation of transcription, DNA-templated; P:SOS response; F:hydrolase activity",,,IPR006197 (PRINTS); G3DSA:2.10.109.10 (GENE3D); IPR015927 (PFAM); PTHR33516 (PANTHER); PTHR33516:SF2 (PANTHER); IPR039418 (CDD); IPR036286 (SUPERFAMILY),F:GO:0003677; P:GO:0006355,"F:DNA binding; P:regulation of transcription, DNA-templated"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_46,translesion error-prone DNA polymerase V subunit,422,20,0,99.53,2,F:GO:0003684; P:GO:0006281,F:damaged DNA binding; P:DNA repair,,,G3DSA:3.30.70.270 (GENE3D); IPR036775 (G3DSA:3.30.1490.GENE3D); G3DSA:2.30.40.20 (GENE3D); IPR017961 (PFAM); IPR001126 (PFAM); G3DSA:1.10.150.20 (GENE3D); IPR025188 (PFAM); PTHR11076:SF40 (PANTHER); PTHR11076 (PANTHER); IPR001126 (PROSITE_PROFILES); cd01700 (CDD); IPR036775 (SUPERFAMILY); SSF56672 (SUPERFAMILY),F:GO:0003684; P:GO:0006281,F:damaged DNA binding; P:DNA repair
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_47,Uncharacterised,346,20,0,86.41,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_48,SOS response-associated peptidase,223,20,4.06E-154,96.18,,,,,,IPR003738 (PFAM); IPR036590 (G3DSA:3.90.1680.GENE3D); IPR003738 (PANTHER); IPR036590 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_49,benzoate transporter,298,20,0,97.45,3,F:GO:0003830; P:GO:0006487; C:GO:0016020,"F:beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity; P:protein N-linked glycosylation; C:membrane",EC:2.4.1.144,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",IPR006813 (PFAM); IPR006813 (PANTHER); PTHR12224:SF0 (PANTHER),F:GO:0003830; P:GO:0006487; C:GO:0016020,"F:beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity; P:protein N-linked glycosylation; C:membrane"
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_50,Virulence factor,313,20,0,98.05,,,,,,IPR007488 (PFAM); IPR007488 (PANTHER),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_51,serine threonine phosphatase,214,20,1.22E-151,97.8,1,F:GO:0016787,F:hydrolase activity,,,IPR029052 (G3DSA:3.60.21.GENE3D); IPR004843 (PFAM); PTHR24032:SF33 (PANTHER); PTHR24032 (PANTHER); SSF56300 (SUPERFAMILY),F:GO:0016787,F:hydrolase activity
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_52,DUF1480 domain-containing,79,20,2.18E-51,99.18,,,,,,IPR009950 (PFAM); IPR009950 (PRODOM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_53,16S rRNA (cytosine(1407)-C(5))-methyltransferase,465,20,0,98.3,4,F:GO:0003723; C:GO:0005737; F:GO:0016434; P:GO:0031167,F:RNA binding; C:cytoplasm; F:rRNA (cytosine) methyltransferase activity; P:rRNA methylation,,,IPR023267 (PRINTS); IPR011023 (TIGRFAM); IPR031341 (PFAM); IPR027391 (PFAM); G3DSA:3.40.50.150 (GENE3D); G3DSA:2.30.130.90 (GENE3D); IPR001678 (PFAM); PTHR22807 (PANTHER); PTHR22807:SF38 (PANTHER); IPR023545 (HAMAP); IPR001678 (PROSITE_PROFILES); cd02440 (CDD); IPR029063 (SUPERFAMILY),F:GO:0003723; P:GO:0006364; F:GO:0008168; F:GO:0008649; F:GO:0008757,F:RNA binding; P:rRNA processing; F:methyltransferase activity; F:rRNA methyltransferase activity; F:S-adenosylmethionine-dependent methyltransferase activity
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_54,MCE family,877,20,0,99.9,1,C:GO:0016021,C:integral component of membrane,,,IPR003399 (PFAM); PTHR30462:SF0 (PANTHER); PTHR30462 (PANTHER),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_55,inner membrane yebS,427,20,0,99.61,1,C:GO:0016021,C:integral component of membrane,,,IPR005219 (TIGRFAM); IPR007498 (PFAM); PTHR30462 (PANTHER); PTHR30462:SF1 (PANTHER); IPR011031 (PROSITE_PROFILES); IPR036280 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_56,Free methionine-R-sulfoxide reductase,165,20,3.31E-117,99.67,3,F:GO:0005515; F:GO:0033745; P:GO:0055114,F:protein binding; F:L-methionine-(R)-S-oxide reductase activity; P:oxidation-reduction process,EC:1.8.4.14,L-methionine (R)-S-oxide reductase,IPR003018 (SMART); IPR003018 (PFAM); IPR029016 (G3DSA:3.30.450.GENE3D); PTHR21021:SF15 (PANTHER); PTHR21021 (PANTHER); SSF55781 (SUPERFAMILY),F:GO:0005515,F:protein binding
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_57,RNA chaperone,228,20,3.35E-166,99.67,4,C:GO:0005737; P:GO:0010608; F:GO:0033592; F:GO:0034057,C:cytoplasm; P:posttranscriptional regulation of gene expression; F:RNA strand annealing activity; F:RNA strand-exchange activity,,,IPR016103 (SMART); IPR016103 (PFAM); IPR035236 (PFAM); IPR036442 (G3DSA:1.10.1710.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR023529 (PANTHER); IPR023529 (HAMAP); IPR036442 (SUPERFAMILY),F:GO:0003723; P:GO:0010608; F:GO:0033592; F:GO:0034057,F:RNA binding; P:posttranscriptional regulation of gene expression; F:RNA strand annealing activity; F:RNA strand-exchange activity
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_58,carboxy-terminal protease,682,20,0,99.93,3,F:GO:0005515; P:GO:0006508; F:GO:0008236,F:protein binding; P:proteolysis; F:serine-type peptidase activity,,,IPR005151 (SMART); IPR001478 (SMART); IPR005151 (PFAM); IPR020992 (PFAM); IPR001478 (PFAM); G3DSA:3.90.226.10 (GENE3D); G3DSA:2.30.42.10 (GENE3D); IPR004447 (TIGRFAM); PTHR32060:SF20 (PANTHER); PTHR32060 (PANTHER); IPR001478 (PROSITE_PROFILES); cd00988 (CDD); IPR004447 (CDD); IPR036034 (SUPERFAMILY); IPR029045 (SUPERFAMILY),F:GO:0005515; P:GO:0006508; F:GO:0008236,F:protein binding; P:proteolysis; F:serine-type peptidase activity
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_59,zinc metalloprotease,293,20,0,99.91,5,F:GO:0004222; C:GO:0005886; P:GO:0006508; F:GO:0008270; C:GO:0016021,F:metalloendopeptidase activity; C:plasma membrane; P:proteolysis; F:zinc ion binding; C:integral component of membrane,EC:3.4.24,Acting on peptide bonds (peptidases),G3DSA:3.30.2010.10 (GENE3D); IPR001915 (PFAM); PTHR43221 (PANTHER); PTHR43221:SF1 (PANTHER); IPR022919 (HAMAP); cd07335 (CDD),F:GO:0004222; P:GO:0006508,F:metalloendopeptidase activity; P:proteolysis
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_60,multidrug MFS transporter,457,20,0,99.39,2,C:GO:0016021; P:GO:0055085,C:integral component of membrane; P:transmembrane transport,,,PR01036 (PRINTS); G3DSA:1.20.1720.10 (GENE3D); G3DSA:1.20.1250.20 (GENE3D); IPR011701 (PFAM); PTHR23501:SF5 (PANTHER); PTHR23501 (PANTHER); IPR020846 (PROSITE_PROFILES); IPR020846 (CDD); IPR036259 (SUPERFAMILY),C:GO:0016021; P:GO:0055085,C:integral component of membrane; P:transmembrane transport
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_61,DNA-binding transcriptional regulator,263,20,0,98.99,3,F:GO:0003677; P:GO:0006351; P:GO:0006355,"F:DNA binding; P:transcription, DNA-templated; P:regulation of transcription, DNA-templated",,,IPR005471 (SMART); IPR029016 (G3DSA:3.30.450.GENE3D); IPR014757 (PFAM); IPR036388 (G3DSA:1.10.10.GENE3D); IPR005471 (PFAM); PTHR30136:SF7 (PANTHER); PTHR30136 (PANTHER); IPR005471 (PROSITE_PROFILES); IPR014757 (PROSITE_PROFILES); IPR011991 (CDD); IPR036390 (SUPERFAMILY); SSF55781 (SUPERFAMILY),F:GO:0003677; P:GO:0006355,"F:DNA binding; P:regulation of transcription, DNA-templated"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_62,membrane,79,20,5.80E-48,97.59,1,C:GO:0016021,C:integral component of membrane,,,IPR025611 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_63,regulatory,47,20,1.48E-24,99.36,3,C:GO:0005886; C:GO:0016021; P:GO:0070298,C:plasma membrane; C:integral component of membrane; P:negative regulation of phosphorelay signal transduction system,,,IPR020907 (PFAM); IPR020907 (HAMAP); PS51257 (PROSITE_PROFILES),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_64,yebO-like family,96,20,2.85E-59,97.25,1,C:GO:0016021,C:integral component of membrane,,,IPR025594 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_65,MBL fold metallo-hydrolase,329,20,0,96.19,2,F:GO:0008270; F:GO:0070290,F:zinc ion binding; F:N-acylphosphatidylethanolamine-specific phospholipase D activity,EC:3.1.4.4,Phospholipase D,IPR036866 (G3DSA:3.60.15.GENE3D); IPR001279 (PFAM); IPR024884 (PIRSF); PTHR15032 (PANTHER); IPR036866 (SUPERFAMILY),F:GO:0008270; F:GO:0070290,F:zinc ion binding; F:N-acylphosphatidylethanolamine-specific phospholipase D activity
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_66,cold-shock,69,20,9.92E-42,99.28,8,F:GO:0001072; F:GO:0003697; F:GO:0003723; C:GO:0005829; C:GO:0016020; P:GO:0031564; F:GO:0051087; P:GO:0060567,"F:transcription antitermination factor activity, RNA binding; F:single-stranded DNA binding; F:RNA binding; C:cytosol; C:membrane; P:transcription antitermination; F:chaperone binding; P:negative regulation of DNA-templated transcription, termination",,,IPR002059 (PRINTS); IPR011129 (SMART); IPR002059 (PFAM); G3DSA:2.40.50.140 (GENE3D); IPR012156 (PIRSF); PTHR11544 (PANTHER); PTHR11544:SF57 (PANTHER); IPR002059 (CDD); IPR012340 (SUPERFAMILY),F:GO:0003676; F:GO:0003677; P:GO:0006355,"F:nucleic acid binding; F:DNA binding; P:regulation of transcription, DNA-templated"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_67,peptidoglycan synthase,568,20,0,98.57,5,C:GO:0005887; F:GO:0008658; F:GO:0008955; P:GO:0009252; P:GO:0051301,C:integral component of plasma membrane; F:penicillin binding; F:peptidoglycan glycosyltransferase activity; P:peptidoglycan biosynthetic process; P:cell division,,,G3DSA:3.30.450.330 (GENE3D); IPR005311 (PFAM); IPR001460 (PFAM); G3DSA:3.40.710.10 (GENE3D); G3DSA:3.90.1310.30 (GENE3D); PTHR30627:SF1 (PANTHER); PTHR30627 (PANTHER); IPR037532 (HAMAP); IPR036138 (SUPERFAMILY); IPR012338 (SUPERFAMILY),C:GO:0005887; F:GO:0008658; F:GO:0008955; P:GO:0009252; P:GO:0051301,C:integral component of plasma membrane; F:penicillin binding; F:peptidoglycan glycosyltransferase activity; P:peptidoglycan biosynthetic process; P:cell division
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_68,23S rRNA (guanine(745)-N(1))-methyltransferase,271,20,0,95.81,3,P:GO:0031167; F:GO:0046872; F:GO:0052911,P:rRNA methylation; F:metal ion binding; F:23S rRNA (guanine(745)-N(1))-methyltransferase activity,EC:2.1.1.187; EC:2.1.1.51,23S rRNA (guanine(745)-N(1))-methyltransferase; Transferring one-carbon groups,IPR016718 (PIRSF); IPR025714 (PFAM); G3DSA:3.40.50.150 (GENE3D); PTHR42912 (PANTHER); PTHR42912:SF22 (PANTHER); cd02440 (CDD); IPR029063 (SUPERFAMILY),F:GO:0008168,F:methyltransferase activity
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_69,membrane,188,20,1.03E-127,99.47,4,F:GO:0005384; C:GO:0005886; C:GO:0016021; P:GO:0071421,F:manganese ion transmembrane transporter activity; C:plasma membrane; C:integral component of membrane; P:manganese ion transmembrane transport,,,IPR003810 (PFAM); PTHR35529:SF1 (PANTHER); IPR003810 (PANTHER); IPR022929 (HAMAP),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_70,DUF986 domain-containing,152,20,5.43E-103,98.55,2,C:GO:0005886; C:GO:0016021,C:plasma membrane; C:integral component of membrane,,,IPR009328 (PIRSF); IPR009328 (PFAM); IPR009328 (PRODOM); IPR009328 (HAMAP),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_71,PTS mannose transporter subunit IID,283,20,0,99.84,5,F:GO:0008982; P:GO:0009401; C:GO:0016021; P:GO:0034219; F:GO:0103111,F:protein-N(PI)-phosphohistidine-sugar phosphotransferase activity; P:phosphoenolpyruvate-dependent sugar phosphotransferase system; C:integral component of membrane; P:carbohydrate transmembrane transport; F:D-glucosamine PTS permease activity,EC:2.7.1.69,Transferring phosphorus-containing groups,IPR004704 (PFAM); IPR004704 (TIGRFAM); PTHR32502:SF5 (PANTHER); PTHR32502 (PANTHER); IPR004704 (PROSITE_PROFILES),P:GO:0009401; C:GO:0016021,P:phosphoenolpyruvate-dependent sugar phosphotransferase system; C:integral component of membrane
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_72,PTS mannose fructose sorbose transporter subunit IIC,266,20,0,99.77,3,P:GO:0009401; C:GO:0016021; F:GO:0016740,P:phosphoenolpyruvate-dependent sugar phosphotransferase system; C:integral component of membrane; F:transferase activity,,,IPR004700 (TIGRFAM); IPR004700 (PFAM); PTHR32502 (PANTHER); PTHR32502:SF4 (PANTHER); IPR004700 (PROSITE_PROFILES),P:GO:0009401; C:GO:0016021,P:phosphoenolpyruvate-dependent sugar phosphotransferase system; C:integral component of membrane
