State,Tags,SeqName,Description,Length,#Hits,e-Value,sim mean,#GO,GO IDs,GO Names,Enzyme Codes,Enzyme Names,InterPro IDs,InterPro GO IDs,InterPro GO Names
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_11,recombination regulator,266,20,0,99.64,2,C:GO:0005737; P:GO:0006282,C:cytoplasm; P:regulation of DNA repair,,,IPR003783 (PFAM); IPR036388 (G3DSA:1.10.10.GENE3D); G3DSA:1.10.10.2800 (GENE3D); IPR036388 (G3DSA:1.10.10.GENE3D); IPR003783 (PANTHER); IPR003783 (HAMAP),P:GO:0006282,P:regulation of DNA repair
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_12,A G-specific adenine glycosylase,394,20,0,99.71,4,F:GO:0003677; P:GO:0006284; F:GO:0019104; F:GO:0051539,"F:DNA binding; P:base-excision repair; F:DNA N-glycosylase activity; F:4 iron, 4 sulfur cluster binding",,,IPR003651 (SMART); IPR003265 (SMART); G3DSA:3.90.79.10 (GENE3D); IPR005760 (TIGRFAM); IPR003265 (PFAM); IPR000445 (PFAM); IPR003651 (PFAM); IPR023170 (G3DSA:1.10.1670.GENE3D); G3DSA:1.10.340.30 (GENE3D); IPR029119 (PFAM); PTHR42944:SF1 (PANTHER); PTHR42944 (PANTHER); IPR003265 (CDD); IPR029119 (CDD); IPR015797 (SUPERFAMILY); IPR011257 (SUPERFAMILY),F:GO:0003677; F:GO:0003824; P:GO:0006281; P:GO:0006284; F:GO:0016787; F:GO:0019104; F:GO:0051539,"F:DNA binding; F:catalytic activity; P:DNA repair; P:base-excision repair; F:hydrolase activity; F:DNA N-glycosylase activity; F:4 iron, 4 sulfur cluster binding"
TRUE,"[INTERPRO, BLASTED]",scf7180000000004_quiver_13,transcriptional regulator,374,20,0,99.77,,,,,,IPR004474 (PFAM); IPR004474 (TIGRFAM); G3DSA:1.10.260.150 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR33392 (PANTHER),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",scf7180000000004_quiver_14,hypothetical protein HMPREF0348_2490,143,20,2.37E-103,96.43,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_15,acetyltransferase,174,20,6.45E-126,99.37,1,F:GO:0008080,F:N-acetyltransferase activity,,,IPR000182 (PFAM); G3DSA:3.40.630.30 (GENE3D); PTHR43617 (PANTHER); IPR000182 (PROSITE_PROFILES); cd04301 (CDD); IPR016181 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_16,nudix family,273,20,0,99.23,2,F:GO:0016779; F:GO:0016787,F:nucleotidyltransferase activity; F:hydrolase activity,,,IPR020476 (PRINTS); G3DSA:3.90.79.10 (GENE3D); IPR000086 (PFAM); G3DSA:1.10.287.1030 (GENE3D); IPR036388 (G3DSA:1.10.10.GENE3D); PTHR22769:SF59 (PANTHER); PTHR22769 (PANTHER); IPR000086 (PROSITE_PROFILES); cd02883 (CDD); IPR036390 (SUPERFAMILY); IPR015797 (SUPERFAMILY),F:GO:0016787,F:hydrolase activity
TRUE,"[INTERPRO, BLASTED]",scf7180000000004_quiver_17,tellurite resistance,395,20,0,98.46,,,,,,IPR008863 (PIRSF); IPR008863 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR008863 (PANTHER),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_18,5-bromo-4-chloroindolyl phosphate hydrolysis,226,20,6.35E-163,97.64,1,C:GO:0016021,C:integral component of membrane,,,IPR018770 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_19,NUDIX family,194,20,2.55E-138,99.79,1,F:GO:0047631,F:ADP-ribose diphosphatase activity,EC:3.6.1.13,ADP-ribose diphosphatase,IPR020476 (PRINTS); IPR000086 (PFAM); G3DSA:3.90.79.10 (GENE3D); PTHR11839 (PANTHER); PTHR11839:SF1 (PANTHER); IPR000086 (PROSITE_PROFILES); cd03424 (CDD); IPR015797 (SUPERFAMILY),F:GO:0016787,F:hydrolase activity
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_20,DUF1510 family,98,20,2.41E-60,89.74,1,C:GO:0016021,C:integral component of membrane,,,mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_21,MTA SAH nucleosidase,231,20,4.56E-165,97.55,5,F:GO:0008782; F:GO:0008930; P:GO:0009164; P:GO:0019284; P:GO:0019509,F:adenosylhomocysteine nucleosidase activity; F:methylthioadenosine nucleosidase activity; P:nucleoside catabolic process; P:L-methionine salvage from S-adenosylmethionine; P:L-methionine salvage from methylthioadenosine,EC:3.2.2.9; EC:3.2.2.1; EC:3.2.2.16,Adenosylhomocysteine nucleosidase; Purine nucleosidase; Methylthioadenosine nucleosidase,IPR010049 (TIGRFAM); G3DSA:3.40.50.1580 (GENE3D); IPR000845 (PFAM); PTHR21234 (PANTHER); IPR035994 (SUPERFAMILY),F:GO:0003824; F:GO:0008782; F:GO:0008930; P:GO:0009116; P:GO:0009164; P:GO:0019509,F:catalytic activity; F:adenosylhomocysteine nucleosidase activity; F:methylthioadenosine nucleosidase activity; P:nucleoside metabolic process; P:nucleoside catabolic process; P:L-methionine salvage from methylthioadenosine
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_22,GIY-YIG nuclease superfamily,88,20,5.65E-58,95.36,4,F:GO:0004519; F:GO:0008168; P:GO:0032259; P:GO:0090305,F:endonuclease activity; F:methyltransferase activity; P:methylation; P:nucleic acid phosphodiester bond hydrolysis,,,IPR000305 (PFAM); IPR035901 (G3DSA:3.40.1440.GENE3D); PTHR34477:SF1 (PANTHER); PTHR34477 (PANTHER); IPR000305 (PROSITE_PROFILES); cd10456 (CDD); IPR035901 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_23,methyltransferase,244,20,1.07E-179,99.77,3,F:GO:0003676; F:GO:0008168; P:GO:0032259,F:nucleic acid binding; F:methyltransferase activity; P:methylation,,,IPR007848 (PFAM); G3DSA:3.40.50.150 (GENE3D); PTHR18895:SF75 (PANTHER); PTHR18895 (PANTHER); cd02440 (CDD); IPR029063 (SUPERFAMILY),F:GO:0008168,F:methyltransferase activity
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_24,1-acyl-sn-glycerol-3-phosphate acyltransferase,208,20,3.39E-150,98.4,2,P:GO:0008152; F:GO:0016746,"P:metabolic process; F:transferase activity, transferring acyl groups",,,IPR002123 (SMART); IPR002123 (PFAM); PTHR10434 (PANTHER); PTHR10434:SF38 (PANTHER); cd07989 (CDD); SSF69593 (SUPERFAMILY),F:GO:0016746,"F:transferase activity, transferring acyl groups"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_25,exonuclease D subunit,378,20,0,99.79,5,F:GO:0004519; P:GO:0006260; P:GO:0006310; F:GO:0008408; P:GO:0090305,F:endonuclease activity; P:DNA replication; P:DNA recombination; F:3'-5' exonuclease activity; P:nucleic acid phosphodiester bond hydrolysis,,,IPR004593 (TIGRFAM); IPR029052 (G3DSA:3.60.21.GENE3D); IPR026843 (PFAM); IPR004843 (PFAM); PTHR30337 (PANTHER); PTHR30337:SF0 (PANTHER); cd00840 (CDD); SSF56300 (SUPERFAMILY),F:GO:0004519; P:GO:0006259; F:GO:0008408; F:GO:0016787,F:endonuclease activity; P:DNA metabolic process; F:3'-5' exonuclease activity; F:hydrolase activity
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_26,exonuclease,1045,20,0,99.82,6,F:GO:0004519; F:GO:0004527; P:GO:0006260; P:GO:0006281; P:GO:0006310; P:GO:0090305,F:endonuclease activity; F:exonuclease activity; P:DNA replication; P:DNA repair; P:DNA recombination; P:nucleic acid phosphodiester bond hydrolysis,,,G3DSA:3.40.50.300 (GENE3D); PF13558 (PFAM); G3DSA:3.40.50.300 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR027050 (PANTHER); IPR027417 (SUPERFAMILY),F:GO:0004518; P:GO:0006281,F:nuclease activity; P:DNA repair
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_27,Snf2 family,1065,20,0,99.98,3,F:GO:0004386; F:GO:0005524; F:GO:0008270,F:helicase activity; F:ATP binding; F:zinc ion binding,EC:3.6.1.15,Nucleoside-triphosphate phosphatase,IPR014001 (SMART); IPR001650 (SMART); IPR038718 (G3DSA:3.40.50.GENE3D); IPR000330 (PFAM); G3DSA:3.40.50.300 (GENE3D); IPR013663 (PFAM); G3DSA:1.20.120.850 (GENE3D); IPR001650 (PFAM); PTHR10799 (PANTHER); PTHR10799:SF845 (PANTHER); IPR014001 (PROSITE_PROFILES); IPR007527 (PROSITE_PROFILES); IPR001650 (PROSITE_PROFILES); IPR001650 (CDD); cd00046 (CDD); IPR027417 (SUPERFAMILY); IPR027417 (SUPERFAMILY),F:GO:0005524; F:GO:0008270,F:ATP binding; F:zinc ion binding
TRUE,"[INTERPRO, BLASTED]",scf7180000000004_quiver_28,conserved domain,307,20,0,99.85,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED, ANNOTATED]",scf7180000000004_quiver_29,leucine Rich Repeat,723,20,0,99.92,1,F:GO:0005515,F:protein binding,,,SM00364 (SMART); SM00365 (SMART); IPR003591 (SMART); IPR025875 (PFAM); IPR012569 (PFAM); IPR027994 (PFAM); G3DSA:2.60.40.1220 (GENE3D); IPR032675 (G3DSA:3.80.10.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR44036 (PANTHER); PTHR44036:SF2 (PANTHER); PTHR44036:SF2 (PANTHER); IPR001611 (PROSITE_PROFILES); IPR001611 (PROSITE_PROFILES); IPR001611 (PROSITE_PROFILES); IPR001611 (PROSITE_PROFILES); IPR001611 (PROSITE_PROFILES); IPR001611 (PROSITE_PROFILES); IPR001611 (PROSITE_PROFILES); SSF52058 (SUPERFAMILY); IPR014756 (SUPERFAMILY),F:GO:0005515,F:protein binding
TRUE,"[INTERPRO, BLASTED]",scf7180000000004_quiver_30,cell surface,260,20,0,99.88,,,,,,IPR027994 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",scf7180000000004_quiver_31,domain-containing,258,20,0,99.67,,,,,,IPR027994 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_32,DUF916 and DUF3324 domain-containing,341,20,0,99.68,1,C:GO:0016021,C:integral component of membrane,,,IPR021759 (PFAM); IPR010317 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_33,HAD family hydrolase,237,20,2.39E-179,99.94,2,P:GO:0008152; F:GO:0016787,P:metabolic process; F:hydrolase activity,,,IPR006439 (PRINTS); PF13419 (PFAM); IPR023214 (G3DSA:3.40.50.GENE3D); IPR023198 (G3DSA:1.10.150.GENE3D); IPR006439 (TIGRFAM); PTHR12725:SF87 (PANTHER); PTHR12725 (PANTHER); cd04305 (CDD); IPR036412 (SUPERFAMILY),F:GO:0016787,F:hydrolase activity
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_34,ABC transporter ATP-binding permease,571,20,0,99.94,4,F:GO:0005524; C:GO:0016021; F:GO:0042626; P:GO:0055085,"F:ATP binding; C:integral component of membrane; F:ATPase activity, coupled to transmembrane movement of substances; P:transmembrane transport",EC:3.6.1.3; EC:3.6.1.15,Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase,IPR003593 (SMART); IPR011527 (PFAM); G3DSA:3.40.50.300 (GENE3D); IPR003439 (PFAM); IPR036640 (G3DSA:1.20.1560.GENE3D); PTHR24221:SF298 (PANTHER); IPR039421 (PANTHER); IPR003439 (PROSITE_PROFILES); IPR011527 (PROSITE_PROFILES); IPR027417 (SUPERFAMILY); IPR036640 (SUPERFAMILY),F:GO:0005524; C:GO:0016021; F:GO:0016887; F:GO:0042626; P:GO:0055085,"F:ATP binding; C:integral component of membrane; F:ATPase activity; F:ATPase activity, coupled to transmembrane movement of substances; P:transmembrane transport"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_35,tryptophan--tRNA ligase,336,20,0,99.87,4,F:GO:0004830; F:GO:0005524; C:GO:0005737; P:GO:0006436,F:tryptophan-tRNA ligase activity; F:ATP binding; C:cytoplasm; P:tryptophanyl-tRNA aminoacylation,EC:6.1.1.2,Tryptophan--tRNA ligase,IPR002306 (PRINTS); G3DSA:1.10.240.10 (GENE3D); IPR002305 (PFAM); IPR014729 (G3DSA:3.40.50.GENE3D); IPR002306 (TIGRFAM); PTHR43766 (PANTHER); IPR024109 (HAMAP); IPR002306 (CDD); SSF52374 (SUPERFAMILY),F:GO:0000166; F:GO:0004812; F:GO:0004830; F:GO:0005524; C:GO:0005737; P:GO:0006418; P:GO:0006436,F:nucleotide binding; F:aminoacyl-tRNA ligase activity; F:tryptophan-tRNA ligase activity; F:ATP binding; C:cytoplasm; P:tRNA aminoacylation for protein translation; P:tryptophanyl-tRNA aminoacylation
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_36,regulatory spx,132,20,3.65E-90,97.92,3,C:GO:0005737; P:GO:0006351; P:GO:0045892,"C:cytoplasm; P:transcription, DNA-templated; P:negative regulation of transcription, DNA-templated",,,IPR006660 (PFAM); IPR006504 (TIGRFAM); G3DSA:3.40.30.10 (GENE3D); PTHR30041 (PANTHER); PTHR30041:SF10 (PANTHER); IPR006660 (PROSITE_PROFILES); IPR023731 (HAMAP); cd03032 (CDD); IPR036249 (SUPERFAMILY),P:GO:0045892,"P:negative regulation of transcription, DNA-templated"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_37,adapter mecA,220,20,3.32E-156,99.07,1,F:GO:0030674,"F:protein binding, bridging",,,IPR008681 (PFAM); IPR038471 (G3DSA:3.30.70.GENE3D); IPR008681 (PIRSF); IPR008681 (PANTHER); IPR008681 (HAMAP),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",scf7180000000004_quiver_38,competence,392,20,0,99.44,,,,,,IPR010330 (PFAM); IPR021176 (PIRSF),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_39,oligoendopeptidase F,603,20,0,99.6,2,F:GO:0004222; P:GO:0006508,F:metalloendopeptidase activity; P:proteolysis,EC:3.4.24,Acting on peptide bonds (peptidases),G3DSA:1.10.287.830 (GENE3D); G3DSA:1.20.140.70 (GENE3D); G3DSA:1.10.1370.20 (GENE3D); IPR013647 (PFAM); IPR004438 (TIGRFAM); IPR001567 (PFAM); PTHR11804 (PANTHER); PTHR11804:SF70 (PANTHER); cd09608 (CDD); SSF55486 (SUPERFAMILY),F:GO:0004222; P:GO:0006508,F:metalloendopeptidase activity; P:proteolysis
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_40,dithiol-disulfide isomerase,219,20,4.05E-161,99,3,F:GO:0016301; P:GO:0016310; F:GO:0016853,F:kinase activity; P:phosphorylation; F:isomerase activity,,,G3DSA:3.40.30.10 (GENE3D); PF13743 (PFAM); PTHR13887:SF21 (PANTHER); PTHR13887 (PANTHER); cd03025 (CDD); IPR036249 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",scf7180000000004_quiver_41,adenylate cyclase,192,20,8.15E-138,99.27,,,,,,IPR023577 (SMART); IPR023577 (PFAM); IPR009195 (PIRSF); G3DSA:2.40.320.10 (GENE3D); IPR023577 (PROSITE_PROFILES); IPR009195 (CDD); IPR033469 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_42,GTP diphosphokinase,224,20,5.70E-163,98.06,4,F:GO:0008728; P:GO:0015969; F:GO:0016301; P:GO:0016310,F:GTP diphosphokinase activity; P:guanosine tetraphosphate metabolic process; F:kinase activity; P:phosphorylation,EC:2.7.6.5,GTP diphosphokinase,IPR007685 (SMART); IPR007685 (PFAM); G3DSA:3.30.460.10 (GENE3D); G3DSA:1.10.287.860 (GENE3D); PTHR21262:SF11 (PANTHER); PTHR21262 (PANTHER); IPR007685 (CDD); SSF81301 (SUPERFAMILY),P:GO:0015969,P:guanosine tetraphosphate metabolic process
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_43,inorganic polyphosphate ATP-NAD kinase,265,20,0,96.25,7,F:GO:0003951; F:GO:0005524; C:GO:0005737; P:GO:0006741; P:GO:0016310; P:GO:0019674; F:GO:0046872,F:NAD+ kinase activity; F:ATP binding; C:cytoplasm; P:NADP biosynthetic process; P:phosphorylation; P:NAD metabolic process; F:metal ion binding,EC:2.7.1.23,NAD(+) kinase,IPR017438 (G3DSA:3.40.50.GENE3D); IPR002504 (PFAM); IPR017437 (G3DSA:2.60.200.GENE3D); PTHR20275 (PANTHER); PTHR20275:SF24 (PANTHER); IPR002504 (HAMAP); IPR016064 (SUPERFAMILY),F:GO:0003951; P:GO:0006741; P:GO:0019674,F:NAD+ kinase activity; P:NADP biosynthetic process; P:NAD metabolic process
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_44,family pseudouridine synthase,297,20,0,99.87,4,P:GO:0001522; F:GO:0003723; F:GO:0009982; F:GO:0016829,P:pseudouridine synthesis; F:RNA binding; F:pseudouridine synthase activity; F:lyase activity,EC:5.4.99.12,tRNA pseudouridine(38-40) synthase,G3DSA:3.30.2350.10 (GENE3D); IPR006225 (TIGRFAM); IPR006145 (PFAM); PTHR44205:SF4 (PANTHER); PTHR44205 (PANTHER); IPR006145 (CDD); IPR020103 (SUPERFAMILY),P:GO:0001522; F:GO:0003723; P:GO:0009451; F:GO:0009982,P:pseudouridine synthesis; F:RNA binding; P:RNA modification; F:pseudouridine synthase activity
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_45,magnesium transporter,453,20,0,98.7,5,C:GO:0005886; F:GO:0015095; C:GO:0016021; F:GO:0046872; P:GO:1903830,C:plasma membrane; F:magnesium ion transmembrane transporter activity; C:integral component of membrane; F:metal ion binding; P:magnesium ion transmembrane transport,,,IPR000644 (SMART); IPR006668 (SMART); IPR038076 (G3DSA:1.25.60.GENE3D); G3DSA:3.10.580.10 (GENE3D); IPR038048 (G3DSA:1.10.357.GENE3D); IPR006668 (PFAM); IPR000644 (PFAM); IPR006667 (PFAM); IPR006669 (TIGRFAM); IPR006669 (PANTHER); IPR000644 (PROSITE_PROFILES); IPR000644 (PROSITE_PROFILES); cd04606 (CDD); SSF54631 (SUPERFAMILY); SSF158791 (SUPERFAMILY); IPR036739 (SUPERFAMILY),P:GO:0006812; F:GO:0008324; F:GO:0015095; P:GO:0015693; C:GO:0016020,P:cation transport; F:cation transmembrane transporter activity; F:magnesium ion transmembrane transporter activity; P:magnesium ion transport; C:membrane
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_46,copper homeostasis,209,20,3.57E-151,99.33,2,F:GO:0005507; P:GO:0055070,F:copper ion binding; P:copper ion homeostasis,,,IPR036822 (G3DSA:3.20.20.GENE3D); IPR023648 (PFAM); IPR005627 (PANTHER); IPR005627 (HAMAP); IPR036822 (SUPERFAMILY),F:GO:0005507; P:GO:0055070,F:copper ion binding; P:copper ion homeostasis
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_47,ribosomal RNA large subunit methyltransferase A,281,20,0,99.93,3,P:GO:0031167; F:GO:0046872; F:GO:0052911,P:rRNA methylation; F:metal ion binding; F:23S rRNA (guanine(745)-N(1))-methyltransferase activity,EC:2.1.1.187; EC:2.1.1.51,23S rRNA (guanine(745)-N(1))-methyltransferase; Transferring one-carbon groups,G3DSA:3.40.50.150 (GENE3D); IPR016718 (PIRSF); PF13649 (PFAM); PTHR43464 (PANTHER); PTHR43464:SF13 (PANTHER); cd02440 (CDD); IPR029063 (SUPERFAMILY),F:GO:0008168,F:methyltransferase activity
